City,Title,Price,Furnishing,Link
Kozhikode,"1 BHK Flat for Sale in Landmark World, Thondayad, Kozhikode",₹44 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Thondayad-in-Kozhikode&id=4d423735363336313233
Kozhikode,"1 BHK Flat for Sale in Landmark Village, Kaithappoyil, Kozhikode",₹41 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-Kaithappoyil-in-Kozhikode&id=4d423531383737353431
Kozhikode,"1 BHK Flat for Sale in East Hill Society, East Hill, Kozhikode",₹17 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Sale-East-Hill-in-Kozhikode&id=4d423631343832353437
Kozhikode,"1 BHK Flat for Sale in West Hill, Kozhikode",₹23 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Builder-Floor-Apartment-FOR-Sale-West-Hill-in-Kozhikode&id=4d423731363437323737
Kozhikode,"1 BHK Flat for Sale in Pottammal, Kozhikode",₹30 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Pottammal-in-Kozhikode&id=4d423735333937373935
Kozhikode,"1 BHK Flat for Sale in Thondayad, Kozhikode",₹45 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-Thondayad-in-Kozhikode&id=4d423735333738303339
Kozhikode,"3 BHK Flat for Sale in Prestige Ocean Pearl, West Hill Kozhikode",₹1.09 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Sale-West-Hill-in-Kozhikode&id=4d423732323234313737
Kozhikode,3 BHK House for Sale in Vellimadukunnu Kozhikode,₹2 Cr,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-3200-Sq-ft-Residential-House-FOR-Sale-Vellimadukunnu-in-Kozhikode&id=4d423734333239303931
Kozhikode,4 BHK Villa for Sale in Chevayoor Kozhikode,₹3 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/4-BHK-2780-Sq-ft-Villa-FOR-Sale-Chevayoor-in-Kozhikode&id=4d423734303938353039
Kozhikode,4 BHK House for Sale in Kunduparampa Kozhikode,₹1.30 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/4-BHK-2500-Sq-ft-Residential-House-FOR-Sale-in-Kozhikode&id=4d423735373635343833
Kozhikode,4 BHK House for Sale in Chevayoor Kozhikode,₹3 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/4-BHK-2700-Sq-ft-Residential-House-FOR-Sale-Chevayoor-in-Kozhikode&id=4d423734313133323231
Kozhikode,3 BHK Villa for Sale in Moozhikkal Kozhikode,₹65 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Villa-FOR-Sale-Moozhikkal-in-Kozhikode&id=4d423733373038363733
Kozhikode,3 BHK House for Sale in Kottooli Kozhikode,₹1.65 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-6-Cent-Residential-House-FOR-Sale-Kottooli-in-Kozhikode&id=4d423732323732363337
